Country,Happiness score,Whisker-high,Whisker-low,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia (2.33) + residual,field12,field13,Figure 2.2: Ranking of Happiness 2013-2015
Norway,7.498,7.575,7.421,1.577440143,1.126895666,0.795789361,0.596085906,0.378948092,0.357757896,2.664645195,,,
Norway,7.498,7.575,7.421,1.577440143,1.126895666,0.795789361,0.596085906,0.378948092,0.357757896,2.664645195,,,
Finland,7.413,7.475,7.351,1.40597868,1.134640336,0.81091392,0.571036816,0.254919082,0.410039783,2.825964928,,,
Finland,7.413,7.475,7.351,1.40597868,1.134640336,0.81091392,0.571036816,0.254919082,0.410039783,2.825964928,,,
Germany,6.994,7.058,6.93,1.447866678,1.097738504,0.814869463,0.534662247,0.304522663,0.285507739,2.509305954,,,
Germany,6.994,7.058,6.93,1.447866678,1.097738504,0.814869463,0.534662247,0.304522663,0.285507739,2.509305954,,,
Belgium,6.929,6.997,6.861,1.425390482,1.052487135,0.819593668,0.513537586,0.242399335,0.262475789,2.613553524,,,
Belgium,6.929,6.997,6.861,1.425390482,1.052487135,0.819593668,0.513537586,0.242399335,0.262475789,2.613553524,,,
United Kingdom,6.725,6.803,6.647,1.402830243,1.086715817,0.809905171,0.500359237,0.501563191,0.273989618,2.149994373,,,
United Kingdom,6.725,6.803,6.647,1.402830243,1.086715817,0.809905171,0.500359237,0.501563191,0.273989618,2.149994373,,,
France,6.478,6.559,6.397,1.394883513,1.005080104,0.837949932,0.465618432,0.121603429,0.178082541,2.474404812,,,
France,6.478,6.559,6.397,1.394883513,1.005080104,0.837949932,0.465618432,0.121603429,0.178082541,2.474404812,,,
Spain,6.361,6.434,6.288,1.342530847,1.129446745,0.878959715,0.375447303,0.176649779,0.061372794,2.396626711,,,
Spain,6.361,6.434,6.288,1.342530847,1.129446745,0.878959715,0.375447303,0.176649779,0.061372794,2.396626711,,,
Italy,5.977,6.056,5.898,1.354946852,1.041667461,0.851017892,0.188266635,0.166838825,0.02555649,2.349183321,,,
Italy,5.977,6.056,5.898,1.354946852,1.041667461,0.851017892,0.188266635,0.166838825,0.02555649,2.349183321,,,
Poland,5.835,5.921,5.749,1.245846987,1.04684782,0.690581024,0.45190239,0.144434735,0.054995816,2.200353146,,,
Poland,5.835,5.921,5.749,1.245846987,1.04684782,0.690581024,0.45190239,0.144434735,0.054995816,2.200353146,,,
Lithuania,5.813,5.892,5.734,1.269200087,1.064109921,0.646744013,0.18928887,0.020247009,0.018196519,2.605252981,,,
Lithuania,5.813,5.892,5.734,1.269200087,1.064109921,0.646744013,0.18928887,0.020247009,0.018196519,2.605252981,,,
Slovenia,5.768,5.853,5.683,1.29946506,1.056134582,0.791508019,0.531639218,0.257384598,0.036349814,1.795216084,,,
Slovenia,5.768,5.853,5.683,1.29946506,1.056134582,0.791508019,0.531639218,0.257384598,0.036349814,1.795216084,,,
Latvia,5.56,5.634,5.486,1.217876792,0.950254142,0.639524221,0.279956311,0.174453154,0.088895261,2.208589554,,,
Latvia,5.56,5.634,5.486,1.217876792,0.950254142,0.639524221,0.279956311,0.174453154,0.088895261,2.208589554,,,
Estonia,5.517,5.597,5.437,1.279636979,1.051626801,0.680980504,0.415114403,0.084225267,0.185190409,1.819848537,,,
Estonia,5.517,5.597,5.437,1.279636979,1.051626801,0.680980504,0.415114403,0.084225267,0.185190409,1.819848537,,,
Bulgaria,4.217,4.33,4.104,1.113064647,0.925417423,0.67805624,0.212191105,0.127929702,0.00615381,1.153767347,,,
Bulgaria,4.217,4.33,4.104,1.113064647,0.925417423,0.67805624,0.212191105,0.127929702,0.00615381,1.153767347,,,
